ConfJournal_id,nom,chercheur_id,type,periodicite,lien
asunam,ASONAM,,Conference,,https://dblp.org/db/conf/asunam/asonam2022.html#DakicheBTSB22
cc,CC,,Conference,,https://dblp.org/db/conf/cc/cc2022.html#KourtaNTHCLB22
csa3,CSA,,Conference,,https://dblp.org/db/conf/csa3/csa2022.html#KerkacheSTA22
simultech,SIMULTECH,,Conference,,https://dblp.org/db/conf/simultech/simultech2021.html#DakicheTBSKC21
eaai,Eng. Appl. Artif. Intell.,,Journal,,https://dblp.org/db/journals/eaai/eaai87.html#KioucheBTK20
sac,SAC,,Conference,,https://dblp.org/db/conf/sac/sac2020.html#LaidouiTBL20
ipm,Inf. Process. Manag.,,Journal,,https://dblp.org/db/journals/ipm/ipm56.html#DakicheTSB19
iecon,IECON,,Conference,,https://dblp.org/db/conf/iecon/iecon2019.html#KhamoudjTBB19
isie,ISIE,,Conference,,https://dblp.org/db/conf/isie/isie2019.html#LadjTVDS19
smc,SMC,,Conference,,https://dblp.org/db/conf/smc/smc2019.html#TouatTBSAK19
or,Oper. Res.,,Journal,,https://dblp.org/db/journals/or/or18.html#TayebBM18
etfa,ETFA,,Conference,,https://dblp.org/db/conf/etfa/etfa2018.html#LadjTV18
fuzzIEEE,FUZZ-IEEE,,Conference,,https://dblp.org/db/conf/fuzzIEEE/fuzzIEEE2018.html#DakicheTSB18
ictai,ICTAI,,Conference,,https://dblp.org/db/conf/ictai/ictai2017.html#TouatTBB17
ijris,Int. J. Reason. based Intell. Syst.,,Journal,,https://dblp.org/db/journals/ijris/ijris8.html#Sadeg-BelkacemH16
cec,CEC,,Conference,,https://dblp.org/db/conf/cec/cec2016.html#LadjTV16
candie,Comput. Ind. Eng.,,Journal,,https://dblp.org/db/journals/candie/candie90.html#Bouzidi-Hassini15
cdc,CDC,,Conference,,https://dblp.org/db/conf/cdc/cdc2015.html#TayebMB15
ijiei,Int. J. Intell. Eng. Informatics,,Journal,,https://dblp.org/db/journals/ijiei/ijiei2.html#KhelifatiB13
hpcc,HPCC/EUC,,Conference,,https://dblp.org/db/conf/hpcc/hpcc2013.html#BendjoudiCGMBSM13
isda,ISDA,,Conference,,https://dblp.org/db/conf/isda/isda2011.html#KhelifatiB11
iwinac,IWINAC (1),,Conference,,https://dblp.org/db/conf/iwinac/iwinac2007-1.html#Benbouzid-SitayebTM07
iwann,IWANN (2),,Conference,,https://dblp.org/db/conf/iwann/iwann2003-2.html#BenbouzidVZ03
ijseke,Int. J. Softw. Eng. Knowl. Eng.,,Journal,,https://dblp.org/db/journals/ijseke/ijseke33.html#BensattalahCN23
sle,Smart Learn. Environ.,,Journal,,https://dblp.org/db/journals/sle/sle10.html#KhaldiBN23
icaart,ICAART (Revised Selected Paper),,Conference,,https://dblp.org/db/conf/icaart/icaart2023s.html#NadjehAN23a
kes,KES,,Conference,,https://dblp.org/db/conf/kes/kes2020.html#MeghatriaLN20
ao,Appl. Ontology,,Journal,,https://dblp.org/db/journals/ao/ao14.html#BouzidiNNC19
jaihc,J. Ambient Intell. Humaniz. Comput.,,Journal,,https://dblp.org/db/journals/jaihc/jaihc10.html#OuadahHNB19
icist2,ICIST,,Conference,,https://dblp.org/db/conf/icist2/icist2019.html#BouzidiBNC19
ijbis,Int. J. Bus. Inf. Syst.,,Journal,,https://dblp.org/db/journals/ijbis/ijbis29.html#AissaANC18
ijict,Int. J. Inf. Commun. Technol.,,Journal,,https://dblp.org/db/journals/ijict/ijict13.html#NachidaFF18
misc,MISC,,Conference,,https://dblp.org/db/conf/misc/misc2018.html#OuadahHNB18
jdiq,ACM J. Data Inf. Qual.,,Journal,,https://dblp.org/db/journals/jdiq/jdiq8.html#AbdellaouiNC17
ccgrid,CCGrid,,Conference,,https://dblp.org/db/conf/ccgrid/ccgrid2016.html#AbdellaouiBN16
adbis,ADBIS (Short Papers and Workshops),,Conference,,https://dblp.org/db/conf/adbis/adbis2015w.html#KhouriAN15
