ConfJournal_id,titre_publication,chercheur_id,date_publication,lien,nombre_pages,nombre_volumes
ijiei,A multi-agent approach for scheduling jobs and maintenance operations in the flowshop sequencing problem.,2000018,2013,https://dblp.org/rec/journals/ijiei/KhelifatiB13,47-70,2
hpcc,Parallel B&B Algorithm for Hybrid Multi-core/GPU Architectures.,2000018,2013,https://dblp.org/rec/conf/hpcc/BendjoudiCGMBSM13,914-921,
ijmr,Joint scheduling of jobs and Preventive Maintenance operations in the flowshop sequencing problem: a resolution with sequential and integrated strategies.,2000018,2011,https://dblp.org/rec/journals/ijmr/Benbouzid-SitayebGBVZ11,30-48,6
iccci,A Multi-Agent Scheduling Approach for the Joint Scheduling of Jobs and Maintenance Operations in the Flow Shop Sequencing Problem.,2000018,2011,https://dblp.org/rec/conf/iccci/KhelifatiB11,60-69,
isda,A sequantial distributed approach for the joint scheduling of jobs and maintenance operations in the flowshop sequencing problem.,2000018,2011,https://dblp.org/rec/conf/isda/KhelifatiB11,420-425,
iwinac,An Integrated Resolution of Joint Production and Maintenance Scheduling Problem in Hybrid Flowshop.,2000018,2007,https://dblp.org/rec/conf/iwinac/Benbouzid-SitayebTM07,518-527,
iwann,Resolution of Joint Maintenance/Production Scheduling by Sequential and Integrated Strategies.,2000018,2003,https://dblp.org/rec/conf/iwann/BenbouzidVZ03,782-789,
ijseke,An Adaptive Semantic Annotation Tool for Teachers Based on Context-Aware and Internet of Things.,2000067,2023,https://dblp.org/rec/journals/ijseke/BensattalahCN23,1355-1385,33
sle,Gamification of e-learning in higher education: a systematic literature review.,2000067,2023,https://dblp.org/rec/journals/sle/KhaldiBN23,10,10
icaart,RDC-Repair: Towards a Relevance-Driven Approach for Data and Constraints Repair.,2000067,2023,https://dblp.org/rec/conf/icaart/NadjehAN23a,448-468,
icaart,CSP-DC: Data Cleaning via Constraint Satisfaction Problem Solving.,2000067,2023,https://dblp.org/rec/conf/icaart/NadjehAN23,478-488,
kes,Event Nugget Detection using Pre-trained Language Models.,2000067,2020,https://dblp.org/rec/conf/kes/MeghatriaLN20,320-329,
ao,OntoGamif: A modular ontology for integrated gamification.,2000067,2019,https://dblp.org/rec/journals/ao/BouzidiNNC19,215-249,14
jaihc,SEFAP: an efficient approach for ranking skyline web services.,2000067,2019,https://dblp.org/rec/journals/jaihc/OuadahHNB19,709-725,10
icist2,An architectural framework for gamified information systems.,2000067,2019,https://dblp.org/rec/conf/icist2/BouzidiBNC19,13:1-13:5,
ijbis,EI-Annotate: an adaptive collective memory based on annotation ontology and context for decision making in economic intelligence.,2000067,2018,https://dblp.org/rec/journals/ijbis/AissaANC18,207-232,29
ijict,A new approach to supporting runtime decision making in mobile OLAP.,2000067,2018,https://dblp.org/rec/journals/ijict/NachidaFF18,149-175,13
misc,An Improved Fuzzy Analytical Hierarchy Process for K-Representative Skyline Web Services Selection.,2000067,2018,https://dblp.org/rec/conf/misc/OuadahHNB18,312-328,
jdiq,QDflows: A System Driven by Knowledge Bases for Designing Quality-Aware Data flows.,2000067,2017,https://dblp.org/rec/journals/jdiq/AbdellaouiNC17,14:1-14:39,8
ccgrid,A Quality-Driven Approach for Building Heterogeneous Distributed Databases: The Case of Data Warehouses.,2000067,2016,https://dblp.org/rec/conf/ccgrid/AbdellaouiBN16,631-638,
adbis,Avoiding Ontology Confusion in ETL Processes.,2000067,2015,https://dblp.org/rec/conf/adbis/KhouriAN15,119-126,
soca,SkyAP-S3: A Hybrid Approach for Efficient Skyline Services Selection.,2000067,2015,https://dblp.org/rec/conf/soca/OuadahBHN15,18-25,
icitst,Creation of educative content on the web.,2000067,2014,https://dblp.org/rec/conf/icitst/AmmarF14,119-124,
icitst,Pedagogical hypermédias systems.,2000067,2013,https://dblp.org/rec/conf/icitst/AmmarF13,332-337,
icwit,Urbanization of Information Systems with a Service Oriented Architecture According to the PRAXEME Approach - Application to the Information System of the National Social Insurance Fund (CNAS).,2000067,2012,https://dblp.org/rec/conf/icwit/AmelF12,102-111,
ciia,Profilisation et Contextualisation des Systèmes OLAP: Aperçu de l'Eétat de l'Art.,2000067,2011,https://dblp.org/rec/conf/ciia/NachidaOF11,,
ic3k,Integration of Profile in OLAP Systems.,2000067,2011,https://dblp.org/rec/conf/ic3k/NachidaBN11,320-332,
ir,Tashaphyne0.4: a new arabic light stemmer based on rhyzome modeling approach.,2000016,2023,https://dblp.org/rec/journals/ir/AlKhatibZSB23,14,26
comcom,NRflex: Enforcing network slicing in 5G New Radio.,2000016,2022,https://dblp.org/rec/journals/comcom/BoutibaKBCB22,284-292,181
globecom,UAV mission optimization in 5G: On reducing MEC service relocation.,2000016,2020,https://dblp.org/rec/conf/globecom/Si-MohammedKBCB20,1-6,
cogsr,A generic and efficient emotion-driven approach toward personalized assessment and adaptation in serious games.,2000016,2019,https://dblp.org/rec/journals/cogsr/MostefaiBT19,82-106,56
ijris,Adapting eSpeak to Arabic language: converting Arabic text to speech language using eSpeak.,2000016,2019,https://dblp.org/rec/journals/ijris/ZerroukiSBBSB19,76-89,11
ipm,A probabilistic model to exploit user expectations in XML information retrieval.,2000016,2017,https://dblp.org/rec/journals/ipm/DahakBB17,87-105,53
ijet,A Semantic Analysis of the Learner's Disorientation.,2000016,2016,https://dblp.org/rec/journals/ijet/AddaBB16,10-18,11
ijst,Towards an open platform based on HPSG formalism for the standard Arabic language.,2000016,2016,https://dblp.org/rec/journals/ijst/LoukamBL16,325-338,19
jaihc,Efficient distributed discovery and composition of OWL-S process model in P2P systems.,2000016,2016,https://dblp.org/rec/journals/jaihc/BoukhadraBB16,187-203,7
idc,A Dynamic Model to enhance the Distributed Discovery of services in P2P Overlay Networks.,2000016,2016,https://dblp.org/rec/conf/idc/BoukhadraBB16,13-22,
3pgcic,Towards Efficient and Effective Distributed Discovery of SWs in P2P Overlay Networks.,2000016,2015,https://dblp.org/rec/conf/3pgcic/BoukhadraBB15,77-84,
dcai,Efficient P2P Approach for a Better Automation of the Distributed Discovery of SWs.,2000016,2015,https://dblp.org/rec/conf/dcai/BoukhadraBB15,277-284,
fnc,Similarity Flooding for Efficient Distributed Discovery of OWL-S Process Model in P2P Networks.,2000016,2015,https://dblp.org/rec/conf/fnc/BoukhadraBB15,317-324,
wanlp,SAHSOH$@$QALB-2015 Shared Task: A Rule-Based Correction Method of Common Arabic Native and Non-Native Speakers' Errors.,2000016,2015,https://dblp.org/rec/conf/wanlp/ZaghouaniZB15,155-160,
ijtem,Improving Personalization In E-Learning Systems.,2000016,2014,https://dblp.org/rec/journals/ijtem/BezzaBM14,75-84,4
ijwa,The Use of Ontology in Semantic Analysis of the Learner's Queries on the Web through Search Engines.,2000016,2014,https://dblp.org/rec/journals/ijwa/AddaB14,121-130,6
hpcc,Hybrid Ontology-Based Matching for Distributed Discovery of SWS in P2P Systems.,2000016,2014,https://dblp.org/rec/conf/hpcc/BoukhadraBB14,896-903,
icsibo,The Use of Ontology in Semantic Analysis of the Published Learners Messages for Adaptability.,2000016,2014,https://dblp.org/rec/conf/icsibo/AddaB14,106-114,
nbis,Ranked Matching of OWL-S Process Model for Distributed Discovery of SWs in P2P Systems.,2000016,2014,https://dblp.org/rec/conf/nbis/BoukhadraBB14,106-113,
wanlp,Autocorrection of arabic common errors for large text corpus.,2000016,2014,https://dblp.org/rec/conf/wanlp/ZerroukiAB14,127-131,
3pgcic,HPS5DSWS: A Hybrid P2P Strategy of the Distributed Discovery Mechanism for Semantic Web Services.,2000016,2013,https://dblp.org/rec/conf/3pgcic/BoukhadraBB13,29-36,
icitst,DA5DCSWS: A Distributed Architecture for semantic Web services Discovery and Composition.,2000016,2013,https://dblp.org/rec/conf/icitst/BoukhadraBB13,182-187,
icwl,Adaptation Based on Navigation Type and Learning Style.,2000016,2013,https://dblp.org/rec/conf/icwl/BousbiaGB13,23-31,
icwit,Automatic Composition of Semantic Web Services-based Alignment of OWL-S.,2000016,2012,https://dblp.org/rec/conf/icwit/AdelKA12,336-341,
